id,product,stock,price
1,Camiseta Básica Preta Hering,6,50.31
2,Calça Jeans Levi's,50,154.43
3,Tênis Nike Air Jordan,43,248.03
4,Moletom GAP,46,236.08
5,Jaqueta de Couro Zara,4,63.98
6,Blusa Social Renner,24,215.0
7,Calça de Alfaiataria Zara,35,142.31
8,Saia Midi Amaro,36,200.9
9,Bota Cano Curto Schutz,33,230.15
10,Sandálias Rasteiras Melissa,20,124.26
11,Boné Adidas,5,53.63
12,Cachecol Lã C&A,41,66.1
13,Luvas de Couro Arezzo,24,139.67
14,Cinto de Couro Fasolo,40,104.19
15,Bermuda Sarja Reserva,46,181.4
16,Cardigan Tricô Renner,11,44.48
17,Regata Básica Hering,29,169.68
18,Capa de Chuva Quechua,14,239.86
19,Terno Completo Hugo Boss,12,31.88
20,Sapato Social Democrata,29,139.46
